date,home,away,spread,homeWL,awayWL
1447819200000,UTA,TOR,4,0.5,0.5833333333333334
1447819200000,CHO,BRK,5,0.45454545454545453,0.18181818181818182
1447819200000,PHI,IND,-27,0,0.5454545454545454
1447819200000,BOS,DAL,-4,0.6,0.6363636363636364
1447905600000,LAC,GSW,-7,0.6,1
1447905600000,MIA,SAC,7,0.6,0.3333333333333333
1447905600000,CLE,MIL,15,0.7272727272727273,0.45454545454545453
1447992000000,DEN,PHO,-7,0.5,0.5454545454545454
1447992000000,POR,LAC,11,0.3076923076923077,0.5454545454545454
1447992000000,BOS,BRK,25,0.5454545454545454,0.16666666666666666
1447992000000,CHO,PHI,25,0.5,0
1447992000000,GSW,CHI,12,1,0.7272727272727273
1447992000000,LAL,TOR,-11,0.18181818181818182,0.5384615384615384
1447992000000,OKC,NYK,-3,0.5833333333333334,0.5
1447992000000,DAL,UTA,9,0.6666666666666666,0.5454545454545454
1447992000000,MIN,DET,-10,0.4166666666666667,0.5454545454545454
1447992000000,MEM,HOU,12,0.5,0.4166666666666667
1447992000000,NOP,SAS,14,0.08333333333333333,0.8181818181818182
1448078400000,CLE,ATL,12,0.75,0.6428571428571429
1448078400000,MIA,PHI,5,0.6363636363636364,0
1448078400000,IND,MIL,37,0.5833333333333334,0.4166666666666667
1448078400000,ORL,SAC,-6,0.5,0.3076923076923077
1448078400000,DET,WAS,-2,0.5833333333333334,0.5555555555555556
1448078400000,SAS,MEM,10,0.75,0.5384615384615384
1448078400000,HOU,NYK,-5,0.38461538461538464,0.5384615384615384
1448164800000,OKC,DAL,3,0.5384615384615384,0.6923076923076923
1448164800000,BRK,BOS,10,0.15384615384615385,0.5833333333333334
1448164800000,NOP,PHO,6,0.15384615384615385,0.5833333333333334
1448164800000,LAL,POR,-14,0.16666666666666666,0.35714285714285715
1448164800000,LAC,TOR,-11,0.5,0.5714285714285714
1448164800000,DEN,GSW,-13,0.46153846153846156,1
1448251200000,MIN,PHI,5,0.38461538461538464,0
1448251200000,MIA,NYK,17,0.6666666666666666,0.5714285714285714
1448251200000,CHO,SAC,5,0.5384615384615384,0.35714285714285715
1448251200000,UTA,OKC,-22,0.5,0.5714285714285714
1448251200000,SAS,PHO,14,0.7692307692307693,0.5384615384615384
1448251200000,MIL,DET,21,0.38461538461538464,0.5384615384615384
1448251200000,CLE,ORL,14,0.7692307692307693,0.46153846153846156
1448337600000,ATL,BOS,24,0.6,0.5384615384615384
1448337600000,MEM,DAL,14,0.5,0.6428571428571429
1448337600000,POR,CHI,-5,0.4,0.6666666666666666
1448337600000,DEN,LAC,-17,0.42857142857142855,0.46153846153846156
1448337600000,GSW,LAL,34,1,0.15384615384615385
1448337600000,WAS,IND,-17,0.6,0.6153846153846154
1448424000000,OKC,BRK,11,0.6,0.21428571428571427
1448424000000,BOS,PHI,4,0.5,0
1448424000000,LAC,UTA,-11,0.5,0.46153846153846156
1448424000000,SAS,DAL,5,0.7857142857142857,0.6
1448424000000,TOR,CLE,4,0.6,0.7857142857142857
1448424000000,MIL,SAC,-11,0.42857142857142855,0.3333333333333333
1448424000000,DET,MIA,23,0.5,0.6923076923076923
